# 104614M30  idx 2  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 13.329 s
# (TH/BT)_LOS = 0.504584  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
2.49999994e-03 1.00000000e+00 2.78640210e+16 4.83128476e+16 2.78640210e+16 4.83128476e+16 1.92002300e-03 5.34995612e+13 9.27617787e+13 5.76741434e-01 5.76741434e-01
7.49999983e-03 1.00000000e+00 2.78593393e+16 4.83128476e+16 2.78593393e+16 4.83128476e+16 5.76050766e-03 1.60483937e+14 2.78306529e+14 5.76644529e-01 5.76668754e-01
1.25000002e-02 1.00000000e+00 2.78430003e+16 4.83128476e+16 2.78430003e+16 4.83128476e+16 9.60124563e-03 2.67327485e+14 4.63863517e+14 5.76306339e-01 5.76467407e-01
1.75000001e-02 1.00000000e+00 2.78680207e+16 4.83128476e+16 2.78680207e+16 4.83128476e+16 1.34413699e-02 3.74584374e+14 6.49390854e+14 5.76824222e-01 5.76623513e-01
2.25000009e-02 1.00000000e+00 2.79065108e+16 4.83128476e+16 2.79065108e+16 4.83128476e+16 1.72797702e-02 4.82218095e+14 8.34834906e+14 5.77620907e-01 5.76982548e-01
2.74999999e-02 1.00000000e+00 2.79560806e+16 4.83128476e+16 2.79560806e+16 4.83128476e+16 2.11175606e-02 5.90364226e+14 1.02024949e+15 5.78646924e-01 5.77491045e-01
3.24999988e-02 1.00000000e+00 2.80161300e+16 4.83128476e+16 2.80161300e+16 4.83128476e+16 2.49552298e-02 6.99148964e+14 1.20565822e+15 5.79889852e-01 5.78127371e-01
3.75000015e-02 1.00000000e+00 2.80863908e+16 4.83128476e+16 2.80863908e+16 4.83128476e+16 2.87921987e-02 8.08668946e+14 1.39103311e+15 5.81344139e-01 5.78881171e-01
4.25000004e-02 1.00000000e+00 2.81666703e+16 4.83128476e+16 2.81666703e+16 4.83128476e+16 3.26303579e-02 9.19088534e+14 1.57646551e+15 5.83005799e-01 5.79746699e-01
4.74999994e-02 1.00000000e+00 2.82571694e+16 4.83128476e+16 2.82571694e+16 4.83128476e+16 3.64687704e-02 1.03050422e+15 1.76191014e+15 5.84878988e-01 5.80721701e-01
5.24999984e-02 1.00000000e+00 2.83577098e+16 4.83165554e+16 2.83577098e+16 4.83165554e+16 4.03079502e-02 1.14304116e+15 1.94754131e+15 5.86914974e-01 5.81796522e-01
5.75000010e-02 1.00000000e+00 2.84682998e+16 4.83450863e+16 2.84682998e+16 4.83450863e+16 4.41471413e-02 1.25679405e+15 2.13429736e+15 5.88856116e-01 5.82924623e-01
6.25000000e-02 1.00000000e+00 2.85883904e+16 4.83992574e+16 2.85883904e+16 4.83992574e+16 4.79831807e-02 1.37176190e+15 2.32235031e+15 5.90678286e-01 5.84073109e-01
6.75000027e-02 9.43565832e-01 2.87114404e+16 4.84760521e+16 2.70911341e+16 4.57403465e+16 5.18221222e-02 1.40392006e+15 2.37036182e+15 5.92280913e-01 5.85151032e-01
7.24999979e-02 8.66483116e-01 2.88343491e+16 4.85724539e+16 2.49844766e+16 4.20872112e+16 5.56556731e-02 1.39052786e+15 2.34239207e+15 5.93635832e-01 5.86125694e-01
7.75000006e-02 8.26915571e-01 2.89725010e+16 4.86854465e+16 2.39578122e+16 4.02587537e+16 5.94903380e-02 1.42525834e+15 2.39500687e+15 5.95095724e-01 5.87068504e-01
8.25000033e-02 8.03383849e-01 2.91244196e+16 4.88120132e+16 2.33980883e+16 3.92147831e+16 6.33235574e-02 1.48165019e+15 2.48321957e+15 5.96664994e-01 5.88011541e-01
8.74999985e-02 7.75772666e-01 2.93125407e+16 4.89491375e+16 2.27398678e+16 3.79734029e+16 6.71504512e-02 1.52699238e+15 2.54993114e+15 5.98836714e-01 5.89003772e-01
9.25000012e-02 7.53629344e-01 2.95440404e+16 4.90938032e+16 2.22652558e+16 3.69985307e+16 7.09799752e-02 1.58038731e+15 2.62615479e+15 6.01787568e-01 5.90106463e-01
9.74999964e-02 7.44647119e-01 2.96324506e+16 4.92429934e+16 2.20657189e+16 3.66686532e+16 7.48105496e-02 1.65074856e+15 2.74320210e+15 6.01759732e-01 5.91069653e-01
1.02499999e-01 7.26002929e-01 2.96427807e+16 4.93936921e+16 2.15207456e+16 3.58599652e+16 7.86441192e-02 1.69248008e+15 2.82017538e+15 6.00132920e-01 5.91779474e-01
1.07500002e-01 7.09995916e-01 2.96396493e+16 4.95428826e+16 2.10440299e+16 3.51752443e+16 8.24650228e-02 1.73539641e+15 2.90072732e+15 5.98262510e-01 5.92262784e-01
1.12499997e-01 7.12538776e-01 2.96304804e+16 4.96875480e+16 2.11128662e+16 3.54043047e+16 8.62875357e-02 1.82177720e+15 3.05495020e+15 5.96336136e-01 5.92559316e-01
1.17500000e-01 6.91595595e-01 2.96201810e+16 4.98246725e+16 2.04851867e+16 3.44585241e+16 9.01125073e-02 1.84597154e+15 3.10514400e+15 5.94488222e-01 5.92692210e-01
1.22500002e-01 6.81598349e-01 2.96064901e+16 4.99512393e+16 2.01797348e+16 3.40466823e+16 9.39324349e-02 1.89553162e+15 3.19808777e+15 5.92707819e-01 5.92693244e-01
1.27499998e-01 6.86260698e-01 2.95945503e+16 5.00642317e+16 2.03095767e+16 3.43571146e+16 9.77387950e-02 1.98503356e+15 3.35802298e+15 5.91131617e-01 5.92591668e-01
1.32499993e-01 6.69402297e-01 2.95812096e+16 5.01606335e+16 1.98017296e+16 3.35776433e+16 1.01557098e-01 2.01100621e+15 3.41004802e+15 5.89729585e-01 5.92414333e-01
1.37500003e-01 6.61695730e-01 2.95691203e+16 5.02374284e+16 1.95657606e+16 3.32418918e+16 1.05366901e-01 2.06158355e+15 3.50259511e+15 5.88587458e-01 5.92185356e-01
1.42499998e-01 6.63730592e-01 2.95578993e+16 5.02915994e+16 1.96184820e+16 3.33800730e+16 1.09164394e-01 2.14163970e+15 3.64391546e+15 5.87730349e-01 5.91924291e-01
1.47499993e-01 6.53992327e-01 2.95466496e+16 5.03201303e+16 1.93232821e+16 3.29089791e+16 1.12990499e-01 2.18334728e+15 3.71840196e+15 5.87173551e-01 5.91656235e-01
1.52500004e-01 6.46112359e-01 2.95376404e+16 5.03138695e+16 1.90846345e+16 3.25084129e+16 1.16775706e-01 2.22862168e+15 3.79619288e+15 5.87067557e-01 5.91406304e-01
1.57499999e-01 6.48977062e-01 2.95292191e+16 5.02362639e+16 1.91637858e+16 3.26021829e+16 1.20592400e-01 2.31100693e+15 3.93157550e+15 5.87806831e-01 5.91214102e-01
1.62499994e-01 6.40209142e-01 2.95209206e+16 5.00865284e+16 1.88995632e+16 3.20658534e+16 1.24380998e-01 2.35074654e+15 3.98838285e+15 5.89398418e-01 5.91120802e-01
1.67500004e-01 6.35742015e-01 2.95146803e+16 4.98703759e+16 1.87637223e+16 3.17046933e+16 1.28168702e-01 2.40492194e+15 4.06354939e+15 5.91827909e-01 5.91155980e-01
1.72499999e-01 6.34145169e-01 2.95087309e+16 4.95935216e+16 1.87128191e+16 3.14494921e+16 1.31963700e-01 2.46941285e+15 4.15019135e+15 5.95011807e-01 5.91342422e-01
1.77499995e-01 6.30489351e-01 2.95039508e+16 4.92616785e+16 1.86019268e+16 3.10589637e+16 1.35736704e-01 2.52496423e+15 4.21584136e+15 5.98922972e-01 5.91697331e-01
1.82500005e-01 6.23761594e-01 2.95014892e+16 4.88805591e+16 1.84018959e+16 3.04898154e+16 1.39537007e-01 2.56774547e+15 4.25445758e+15 6.03542384e-01 5.92231728e-01
1.87500000e-01 6.24113887e-01 2.94983393e+16 4.84558794e+16 1.84103232e+16 3.02419872e+16 1.43303409e-01 2.63826208e+15 4.33377987e+15 6.08766979e-01 5.92958246e-01
1.92499995e-01 6.21221549e-01 2.94971494e+16 4.79933521e+16 1.83242649e+16 2.98145046e+16 1.47068709e-01 2.69492598e+15 4.38478070e+15 6.14609068e-01 5.93879760e-01
1.97500005e-01 6.17789932e-01 2.94973993e+16 4.74986894e+16 1.82231963e+16 2.93442121e+16 1.50853097e-01 2.74902561e+15 4.42666528e+15 6.21015015e-01 5.94997700e-01
2.02500001e-01 6.14381376e-01 2.94975406e+16 4.69776079e+16 1.81227396e+16 2.88621674e+16 1.54623598e-01 2.80220320e+15 4.46277216e+15 6.27906399e-01 5.96310050e-01
2.07499996e-01 6.14695241e-01 2.95000207e+16 4.64358199e+16 1.81335224e+16 2.85438775e+16 1.58403099e-01 2.87240613e+15 4.52143864e+15 6.35285881e-01 5.97823628e-01
2.12500006e-01 6.10111611e-01 2.95030907e+16 4.58790374e+16 1.80001782e+16 2.79913334e+16 1.62122905e-01 2.91824118e+15 4.53803629e+15 6.43062548e-01 5.99520728e-01
2.17500001e-01 6.07849709e-01 2.95066808e+16 4.53129774e+16 1.79356274e+16 2.75434802e+16 1.65897697e-01 2.97547928e+15 4.56939993e+15 6.51175061e-01 6.01400869e-01
2.22499996e-01 6.07335119e-01 2.95119708e+16 4.47433521e+16 1.79236563e+16 2.71742091e+16 1.69655204e-01 3.04084156e+15 4.61024598e+15 6.59583366e-01 6.03461869e-01
2.27500007e-01 6.04781771e-01 2.95173100e+16 4.41758735e+16 1.78515310e+16 2.67167630e+16 1.73390999e-01 3.09529480e+15 4.63244624e+15 6.68177166e-01 6.05686149e-01
2.32500002e-01 6.01741955e-01 2.95060398e+16 4.36162586e+16 1.77550221e+16 2.62457327e+16 1.77138209e-01 3.14509282e+15 4.64912209e+15 6.76491767e-01 6.08047077e-01
2.37499997e-01 6.03436936e-01 2.94582804e+16 4.30702194e+16 1.77762145e+16 2.59901612e+16 1.80867404e-01 3.21513777e+15 4.70077299e+15 6.83959377e-01 6.10522932e-01
2.42500007e-01 5.99540226e-01 2.93759590e+16 4.25434682e+16 1.76120691e+16 2.55065205e+16 1.84582591e-01 3.25088135e+15 4.70805965e+15 6.90492814e-01 6.13052535e-01
2.47500002e-01 5.96468444e-01 2.92558909e+16 4.20417217e+16 1.74502158e+16 2.50765603e+16 1.88315496e-01 3.28614603e+15 4.72230489e+15 6.95877565e-01 6.15599569e-01
2.52499998e-01 5.98354673e-01 2.90960507e+16 4.15644877e+16 1.74097579e+16 2.48703054e+16 1.92038506e-01 3.34334390e+15 4.77605631e+15 7.00021877e-01 6.18146071e-01
2.57499993e-01 5.95239646e-01 2.89000100e+16 4.10786597e+16 1.72024317e+16 2.44516468e+16 1.95746407e-01 3.36731420e+15 4.78632201e+15 7.03528552e-01 6.20651340e-01
2.62499988e-01 5.92259969e-01 2.86651802e+16 4.05796749e+16 1.69772387e+16 2.40337170e+16 1.99495092e-01 3.38687580e+15 4.79460859e+15 7.06392552e-01 6.23099533e-01
2.67500013e-01 5.94354464e-01 2.83896095e+16 4.00689951e+16 1.68734911e+16 2.38151861e+16 2.03140706e-01 3.42769290e+15 4.83783371e+15 7.08518130e-01 6.25491585e-01
2.72500008e-01 5.92494400e-01 2.80766710e+16 3.95480908e+16 1.66352703e+16 2.34320223e+16 2.06866592e-01 3.44128168e+15 4.84730261e+15 7.09937456e-01 6.27796357e-01
